patient_id,first_name,last_name,maternal_surname,date_of_birth,gender,curp,street_address,city,state,zip_code,email,plan_name,plan_code,policy_number,group_id,enrollment_date,is_active,annual_deductible,annual_out_of_pocket_max
P001148,Aida,Briones,Murillo,1964-08-22,M,BEHQ420422MNTJHN04,Viaducto Tijerina 752 Interior 563,Celaya,GTO,44845-5576,pgaitan@example.com,Standard,STD,POL42050953,GRP00172,2024-06-25,True,3000,40000
P001149,Mariano,Cedillo,Suárez,1982-01-30,F,KADP900406HJCGNV09,"Diagonal Norte Sarabia 708 Edif. 942 , Depto. 660",San Cynthia los bajos,AGS,66980,marisolpuga@example.net,Standard,STD,POL44829435,,2020-10-23,True,3000,40000
P001150,Benjamín,Preciado,Mota,1954-10-22,M,NAOX670201MVZCMK06,Calle Nayarit 164 Interior 919,San Salvador los bajos,NAY,63695,rodriguezdebora@example.com,Standard,STD,POL92501691,,2022-04-29,True,3000,40000
P001151,Mauro,Saucedo,Collado,1953-09-26,F,TUHK650121HTLLMU04,Periférico Barajas 349 023,San Olga de la Montaña,COAH,43269-2494,uriasabelardo@example.org,Standard,STD,POL69599112,,2023-06-11,True,3000,40000
P001152,Helena,Peres,Irizarry,1942-04-06,M,HOHM170628HTSCDZ04,"Privada Mozambique 146 Edif. 595 , Depto. 112",Naucalpan,MEX,33905,rpreciado@example.com,Standard,STD,POL94239438,GRP00118,2023-12-17,True,3000,40000
P001153,Gonzalo,Covarrubias,Tamayo,1973-08-23,F,YUVB540326MJCWWJ02,"Cerrada Norte Urbina 503 Edif. 027 , Depto. 721",San Jonás los altos,TAB,93162-5055,cristinapineda@example.com,Essential,ESS,POL99244837,,2021-04-19,True,5000,50000
P001154,Fabiola,Segovia,Soto,1978-04-20,F,FUUG400918HTSDNU00,Periférico Mauricio 287 Interior 747,San Micaela los altos,MICH,91040-7629,uolivarez@example.org,Premium,PRM,POL41573180,GRP00372,2021-04-14,True,1500,30000
P001155,Gonzalo,Almonte,Jaime,1944-11-06,F,FIVI130630MGTRJXA7,Prolongación Barrientos 943 370,Mérida,YUC,65781,silvano63@example.com,Essential,ESS,POL50193531,,2023-11-21,True,5000,50000
P001156,Irene,Segura,Madrid,1964-09-12,M,CEDA601217HCSLHD01,Cerrada Romero 017 493,Nueva Uganda,CHIS,75607,abrahamescalante@example.org,Premium,PRM,POL73733970,GRP00278,2020-12-30,True,1500,30000
P001157,Abigail,Calvillo,Longoria,1978-01-17,F,QAPV570729MCHPDL02,"Callejón Uruguay 400 Edif. 613 , Depto. 865",Querétaro,QRO,96602-5143,patricia04@example.com,Standard,STD,POL11800450,,2020-12-29,True,3000,40000
P001158,Bruno,Vázquez,Menchaca,1981-02-22,M,CEEK150418HHGTZLA9,Calle Rosario 934 Interior 779,San Federico de la Montaña,HGO,60548-5625,amontez@example.com,Standard,STD,POL22464069,GRP00010,2024-12-18,True,3000,40000
P001159,Mitzy,Miranda,Holguín,1999-05-29,F,GEGT950411MCSKTR06,Peatonal Sur Carrillo 881 Interior 605,San Blanca los altos,SIN,19755,jarias@example.org,Premium,PRM,POL67865044,GRP00414,2024-04-02,True,1500,30000
P001160,Citlali,Hurtado,Colunga,1990-06-29,M,BOGA661106MBCPZK03,Corredor Armas 513 786,Vieja Guinea,SIN,68497,lozadaclaudio@example.com,Essential,ESS,POL16981420,GRP00461,2022-10-22,True,5000,50000
P001161,Arcelia,Quiñones,Alarcón,1942-07-31,M,EATQ710818HCMTTR06,"Eje vial Kenya 723 Edif. 976 , Depto. 610",San Victoria los altos,AGS,41715-0076,blancomaria-jose@example.com,Elite,ELT,POL18007784,,2021-06-23,False,0,20000
P001162,Gloria,Nazario,Naranjo,1970-08-17,F,HIRN210628MBSFCJ09,Peatonal Sur Prieto 721 Interior 922,Querétaro,QRO,49143,villarrealcornelio@example.org,Standard,STD,POL52725978,GRP00428,2021-09-09,True,3000,40000
P001163,Luisa,Rivas,León,1992-12-20,F,KOCQ151122MCSTMX04,"Andador Jamaica 944 Edif. 769 , Depto. 880",Tlalpan,CDMX,22562,tapiaesmeralda@example.com,Premium,PRM,POL10880257,,2024-09-13,True,1500,30000
P001164,Alfonso,Barrios,Páez,1999-01-30,M,EUTT290212HSPFFI02,Cerrada Norte Bañuelos 559 591,Tijuana,BC,16761-6629,imontenegro@example.com,Elite,ELT,POL36025368,GRP00365,2023-01-08,True,0,20000
P001165,Claudio,Ballesteros,Cordero,1951-09-02,M,HAIJ101111HOCWMDA0,Privada Almonte 940 Interior 978,Puebla,PUE,38718-3410,acunamarco-antonio@example.com,Essential,ESS,POL58484393,GRP00410,2025-05-10,True,5000,50000
P001166,Anel,Garza,Marroquín,1996-06-19,M,VIIX920621HCMDFS09,"Andador Norte Leal 375 Edif. 904 , Depto. 479",Vieja Marruecos,BCS,58304,ialejandro@example.com,Essential,ESS,POL89027645,,2021-02-23,True,5000,50000
P001167,Elena,Acuña,Arreola,1961-05-20,M,IESR820923HCHNHF00,Retorno Trejo 754 Interior 738,Mérida,YUC,84274,olivascristobal@example.net,Standard,STD,POL28507255,GRP00278,2021-09-12,True,3000,40000
P001168,Clara,Terán,Muro,1944-07-17,M,FUHN070412HNTXJPA2,Calzada Mendoza 471 178,Vieja Tonga,CHIS,50513-9184,sernaalberto@example.com,Standard,STD,POL14120074,GRP00112,2023-09-28,True,3000,40000
P001169,José Luis,Barreto,Meraz,1968-09-02,F,GUJL790812HSRXRS09,Calle Nauru 926 Interior 899,Vieja Venezuela,CAMP,73879-3092,diego39@example.org,Standard,STD,POL60563607,,2020-12-25,True,3000,40000
P001170,Mateo,Flórez,Luevano,1981-06-11,F,IUPA250618HSRXJX07,Prolongación Garibay 694 Interior 364,San Carlota de la Montaña,MICH,65314,ruben45@example.com,Standard,STD,POL81508951,,2025-02-28,True,3000,40000
P001171,Juana,Gonzales,Cardenas,1975-11-25,M,EAHH810313HCSQGG05,Cerrada Sur Arredondo 304 233,Coyoacán,CDMX,88319,xacuna@example.org,Premium,PRM,POL50927040,GRP00496,2020-09-13,True,1500,30000
P001172,Manuel,Ojeda,Portillo,1974-08-10,M,WAND631016MJCSGE02,"Diagonal Australia 275 Edif. 789 , Depto. 663",San Felipe los altos,CHIH,80537-3808,eloyespinal@example.org,Standard,STD,POL97019982,,2022-01-20,True,3000,40000
P001173,Martha,Nájera,Camacho,1975-03-10,F,VUVI160722MHGZGGA5,"Ampliación Valladares 636 Edif. 782 , Depto. 816",San Amador los altos,CHIH,00668-8127,marrerodalia@example.com,Premium,PRM,POL28465806,GRP00211,2023-04-24,True,1500,30000
P001174,Cecilia,Cortez,Lira,1946-06-10,M,POIN800622HMSBRO02,Ampliación Sur Castañeda 808 348,Vieja Rwanda,HGO,98544,kurena@example.org,Premium,PRM,POL48334658,,2022-06-20,True,1500,30000
P001175,Julia,Balderas,Elizondo,1946-05-18,F,DIEJ170924MGRRBP03,Eje vial Norte Luevano 599 743,San Tania de la Montaña,CAMP,87803,lsoria@example.net,Premium,PRM,POL53712688,GRP00105,2023-01-24,True,1500,30000
P001176,Indira,Ruiz,Toledo,2004-03-18,M,OEWI201231MSLLHP07,Avenida Guinea Bissau 175 624,San Ariadna los bajos,COAH,99443-3178,maria-del-carmengastelum@example.net,Standard,STD,POL05976620,GRP00330,2023-03-22,True,3000,40000
P001177,Adela,Quintana,Soliz,1958-03-25,F,HUQU151012HCLLPQA5,Boulevard Mercado 746 Interior 621,Ciudad de México,CDMX,85652-5542,israel86@example.com,Premium,PRM,POL72929907,,2021-05-23,True,1500,30000
P001178,Genaro,Armas,Prieto,1984-11-18,F,XOAC210120HMNMLZ01,Cerrada Sierra 738 688,San Mariana los altos,CHIS,39238,jchavarria@example.com,Essential,ESS,POL46862966,,2025-06-30,True,5000,50000
P001179,Karla,Nieves,Salinas,1957-11-07,M,EAKY731202MQOBTG06,Peatonal Sudáfrica 492 627,Nueva Kenya,GRO,50600,cordovaluis-miguel@example.com,Standard,STD,POL46096149,,2024-06-30,True,3000,40000
P001180,Rubén,Caraballo,Posada,1966-04-02,F,SEUM060522MDFQTTA1,"Continuación Oaxaca 300 Edif. 178 , Depto. 462",Nueva Azerbaiyán,OAX,42052-2589,dfajardo@example.com,Premium,PRM,POL32166569,GRP00357,2025-01-05,True,1500,30000
P001181,Soledad,Tapia,Páez,1990-08-25,F,PERK170316MMCRWA00,Avenida Sur Hernádez 250 064,Vieja Bangladesh,MICH,27643,rene46@example.com,Essential,ESS,POL26505347,,2025-01-09,True,5000,50000
P001182,Lilia,Alejandro,Cortez,1974-02-23,M,GONR901129HDFWSW02,"Privada Qatar 755 Edif. 987 , Depto. 592",San Arcelia de la Montaña,CHIS,41552,esperanzaarroyo@example.org,Standard,STD,POL64303297,GRP00211,2022-11-14,True,3000,40000
P001183,Germán,Lozano,Loera,1955-01-13,F,DIUS990725MJCDNH05,"Corredor Veracruz de Ignacio de la Llave 674 Edif. 047 , Depto. 724",Zapopan,JAL,49728-3419,parramaria-del-carmen@example.net,Standard,STD,POL10099784,GRP00006,2022-01-14,True,3000,40000
P001184,Rebeca,Gutiérrez,Barraza,1965-05-15,M,BOWI390915HASTJZ02,Periférico Camerún 585 Interior 970,Nueva República Federal Democrática de Nepal,COL,48910,trinidad57@example.net,Premium,PRM,POL99158434,,2023-12-22,True,1500,30000
P001185,Jerónimo,Ochoa,Montez,2004-12-11,F,AOWL850121MTLWHA00,Calzada Morelos 070 Interior 806,Querétaro,QRO,13959,evelio57@example.net,Essential,ESS,POL45907312,GRP00474,2023-03-13,True,5000,50000
P001186,Antonia,Campos,Becerra,1951-12-28,M,XAXF450517HJCJGJ03,Periférico Berríos 447 Interior 889,Ensenada,BC,77070,alicia70@example.net,Essential,ESS,POL50626327,GRP00081,2022-08-09,True,5000,50000
P001187,Catalina,Ponce,Mesa,1970-05-21,M,LIVN091219HCSHTM02,Circuito Salas 789 379,San Víctor de la Montaña,TLAX,75239-9963,zvalles@example.org,Essential,ESS,POL84544198,GRP00061,2023-12-13,True,5000,50000
P001188,Rebeca,Corrales,Soto,1950-11-03,F,DAYF030518HCSGRDA0,Eje vial Mora 599 527,San María Cristina los altos,SLP,78715-5333,ramirezrenato@example.org,Essential,ESS,POL13475619,GRP00432,2024-09-27,True,5000,50000
P001189,Barbara,Rivera,Ojeda,1964-02-11,F,OETR150614HTLRHT01,Ampliación Armas 786 499,Celaya,GTO,87005-1253,perezelisa@example.org,Premium,PRM,POL90537693,,2021-06-07,True,1500,30000
P001190,Daniela,Salinas,Llamas,1985-07-07,M,GOJM010815MCHXFZA7,"Diagonal Panamá 975 Edif. 311 , Depto. 524",San Tania los altos,TLAX,87207,marisela93@example.net,Essential,ESS,POL14449419,GRP00110,2024-02-11,True,5000,50000
P001191,Ignacio,Velasco,Olivo,1951-07-15,M,ROMU400121HCCVHR04,Ampliación Durango 715 Interior 736,San Victoria los bajos,CAMP,07051-8251,anguloelisa@example.org,Essential,ESS,POL86720759,,2021-02-08,True,5000,50000
P001192,Germán,Niño,Pedroza,1968-10-17,M,HURC150510MCHLLKA4,Pasaje Norte Aguirre 504 340,Coyoacán,CDMX,02655,sochoa@example.com,Premium,PRM,POL75665732,GRP00311,2023-07-10,True,1500,30000
P001193,Armando,Bahena,Miranda,1939-10-07,M,EEWU691111HDGYSC04,Cerrada Finlandia 946 214,San Mauro los bajos,GRO,06165-3730,emilia42@example.net,Essential,ESS,POL90781629,GRP00430,2021-08-04,True,5000,50000
P001194,Anabel,Roque,Carrasco,1997-12-19,F,KABY150609HBCBBC03,Diagonal Zayas 367 059,San Bruno los bajos,COL,41179,mquintero@example.com,Premium,PRM,POL31994670,GRP00085,2023-06-03,True,1500,30000
P001195,Paulina,Riojas,Juárez,1981-06-17,M,OUUL050723HBCGPKA4,Retorno Palau 087 884,San Zacarías de la Montaña,COL,79888-2437,silvia68@example.net,Essential,ESS,POL68627482,GRP00488,2025-04-11,True,5000,50000
P001196,Rebeca,Quiñónez,Barragán,2000-09-26,F,IECR390608HYNMTQ09,Ampliación Chihuahua 367 211,Nueva Armenia,CHIH,67814-0828,guadalupepalomino@example.com,Premium,PRM,POL91371650,GRP00149,2023-06-03,True,1500,30000
P001197,Bernabé,Niño,Vargas,1967-05-07,F,QUZB361208MSLTCQ06,"Boulevard Sudán 151 Edif. 813 , Depto. 690",Nueva Suecia,COAH,47904,smagana@example.net,Essential,ESS,POL40581519,,2024-05-20,True,5000,50000
P001198,Sergio,Herrera,Cortés,1973-03-17,M,MIUK750129HSPVLQ07,Retorno Cruz 890 Interior 098,Tijuana,BC,06814-4166,gcaldera@example.com,Standard,STD,POL72942067,GRP00134,2020-10-30,True,3000,40000
P001199,Norma,Montañez,Urrutia,1950-01-09,F,QEKL250616HSPMHZA7,Retorno Yucatán 957 Interior 240,Vieja Vietman,SIN,30315,solisliliana@example.org,Standard,STD,POL75989622,GRP00077,2024-01-05,True,3000,40000
P001200,Lourdes,Jaime,Camarillo,1981-01-23,M,NEHN771231MQRBYY06,Callejón Kenya 990 102,San Tania los bajos,BCS,33492-2777,tapiaitzel@example.net,Standard,STD,POL42682395,GRP00241,2024-04-15,True,3000,40000
P001201,Germán,Hidalgo,Tijerina,1993-02-25,M,DOIQ200308HASLZX04,"Boulevard Marroquín 576 Edif. 941 , Depto. 513",San Elvia los altos,GRO,53237-5083,hguerra@example.com,Essential,ESS,POL52523243,GRP00411,2021-11-01,True,5000,50000
P001202,Emilia,Varela,Montes,1993-10-27,M,QEMW650723HCSQLH02,"Eje vial Guanajuato 073 Edif. 350 , Depto. 064",Nueva Vietman,GRO,58048-2940,ktoro@example.net,Standard,STD,POL62558729,GRP00451,2021-07-11,True,3000,40000
P001203,Cristina,Muro,Santillán,2004-04-19,F,XEQS930723MTCMHA08,Periférico Balderas 582 Interior 262,San Agustín los bajos,COAH,16750,bravojose-eduardo@example.org,Essential,ESS,POL27034147,GRP00348,2022-12-19,True,5000,50000
P001204,Pamela,Saucedo,Pérez,1953-12-19,F,GAJY660220MCHSCM08,"Prolongación Norte Aguilera 053 Edif. 828 , Depto. 981",San Juan los altos,TAB,23965,mnarvaez@example.net,Premium,PRM,POL76445125,GRP00370,2025-03-20,True,1500,30000
P001205,Adán,Toro,Flórez,1992-12-15,F,YIBF990202MMCPNR02,Calle Sinaloa 380 718,Nueva Comoras,SIN,06993-9945,arcejuan-carlos@example.net,Essential,ESS,POL83829216,,2021-04-23,True,5000,50000
P001206,Rodolfo,Sevilla,Ocasio,1940-07-31,M,VAPM900201MTCLMQ09,Peatonal Chiapas 363 056,San Pedro Garza García,NL,62509-6941,ernestomatos@example.org,Elite,ELT,POL88899088,,2024-05-18,True,0,20000
P001207,Norma,Olivera,Angulo,1975-04-20,M,IIXE200323MCCNCJ06,"Boulevard Norte Ybarra 236 Edif. 036 , Depto. 808",Tijuana,BC,88444-3721,deboraprado@example.net,Premium,PRM,POL77638319,GRP00285,2020-12-16,True,1500,30000
P001208,Nelly,Luevano,Guajardo,1942-10-02,M,GIGQ780303MPLFQX04,"Continuación Norte Sepúlveda 421 Edif. 818 , Depto. 018",Vieja Federación de Rusia,CAMP,47291-3112,nmunguia@example.net,Elite,ELT,POL74603023,GRP00105,2021-02-11,True,0,20000
P001209,Camila,Ramos,Alfaro,1960-07-21,F,QOXZ910228HCCYJH08,"Continuación Sur Bétancourt 592 Edif. 063 , Depto. 041",Vieja Polonia,DGO,52726-1891,velascojaime@example.org,Premium,PRM,POL10017925,GRP00365,2020-11-25,True,1500,30000
P001210,Cristal,Esquivel,Tórrez,1983-12-10,F,HANB180420HCHYVP06,"Callejón Anguiano 819 Edif. 401 , Depto. 469",San Teodoro de la Montaña,HGO,13607-7272,leyvajose@example.org,Standard,STD,POL98063533,GRP00330,2025-05-20,True,3000,40000
P001211,Jos,Amador,Carrasco,2004-07-02,F,YUXQ911221HASHJA01,Continuación Belarús 494 617,Tehuacán,PUE,05151,estelacastillo@example.org,Essential,ESS,POL96730924,,2025-06-17,False,5000,50000
P001212,Mateo,Mares,Cabán,1982-12-12,M,RETQ321216HMNQNP04,"Continuación Sur Granado 036 Edif. 385 , Depto. 743",Ensenada,BC,91958,albaalicia@example.net,Essential,ESS,POL41626750,,2021-01-16,True,5000,50000
P001213,Fabiola,Casas,Jasso,1966-03-11,M,XOAT100319HSRPYZ00,"Prolongación Gambia 558 Edif. 464 , Depto. 201",San Luis Manuel los altos,ZAC,90232,cadenajose-manuel@example.com,Essential,ESS,POL19889060,GRP00306,2024-10-18,True,5000,50000
P001214,Alonso,Reyes,Montalvo,1947-09-28,M,QUJD230817MMCKQQA9,Pasaje Norte Moreno 461 622,Vieja Japón,CAMP,39656-8872,colladoabelardo@example.com,Essential,ESS,POL87103653,,2022-01-01,True,5000,50000
P001215,José Manuél,Lucero,Bueno,1956-10-01,M,FEGT000830HCSKSIA4,Prolongación Quezada 531 Interior 459,Ensenada,BC,50800-2906,hilda73@example.com,Essential,ESS,POL64272943,,2022-08-24,True,5000,50000
P001216,Alberto,Valles,Soliz,2003-07-13,F,EURN391113HSPZBY05,"Circuito Posada 470 Edif. 236 , Depto. 074",Nueva Santa Lucía,TAB,70602,josde-la-o@example.com,Essential,ESS,POL53134176,GRP00019,2021-07-06,True,5000,50000
P001217,Javier,Luna,Barrientos,1973-01-08,M,QADX400605HTSBCG08,Diagonal Gutiérrez 905 Interior 848,Nueva República Dominicana,MICH,81739,ericpalomino@example.net,Standard,STD,POL10829656,GRP00223,2025-05-05,True,3000,40000
P001218,Gloria,Olvera,Ledesma,1988-08-06,F,TAYA060822MDGSDKA6,Circuito Norte Vaca 625 Interior 084,Nueva Letonia,CAMP,01439-9925,lalejandro@example.net,Standard,STD,POL28610285,GRP00200,2023-09-22,False,3000,40000
P001219,Bernabé,Henríquez,Griego,1975-07-14,F,KIBN090223HTSXFPA9,Calle Aguascalientes 286 591,Guadalajara,JAL,98052,salmaarias@example.com,Elite,ELT,POL30673083,,2024-08-22,True,0,20000
P001220,Bernardo,Prado,Roldán,1971-02-16,M,TEQI560312MBSFKJ02,"Prolongación Casillas 050 Edif. 719 , Depto. 709",Vieja Angola,ZAC,74454-0691,fernando87@example.com,Standard,STD,POL73843155,GRP00463,2022-08-24,True,3000,40000
P001221,Rufino,Riojas,Dávila,1977-11-17,M,KIHP300620HTCCJH09,Callejón Ucrania 324 Interior 370,San Sandra los bajos,AGS,91905,wpalomino@example.com,Premium,PRM,POL14134307,,2022-07-26,True,1500,30000
P001222,Natividad,Quiroz,Olivo,1994-09-15,F,WATB730125MCSMMS09,"Corredor Briseño 170 Edif. 242 , Depto. 363",Nueva República Dominicana,CHIH,43738-0131,elisa41@example.org,Essential,ESS,POL57168261,,2020-11-27,True,5000,50000
P001223,Gonzalo,Riojas,Olivárez,2002-06-30,M,MUWS290515MSLMWU09,"Circuito Mozambique 735 Edif. 414 , Depto. 556",Ensenada,BC,73116-8859,leticiapadron@example.org,Elite,ELT,POL70088943,,2023-04-29,True,0,20000
P001224,Amalia,Castellanos,Lugo,1976-10-11,F,SOUS520111HDGNXD03,"Corredor Norte Alarcón 804 Edif. 189 , Depto. 024",Veracruz,VER,62882-6173,jose-maria08@example.com,Premium,PRM,POL36314931,GRP00275,2023-03-01,True,1500,30000
P001225,Cornelio,Villalpando,Ferrer,1974-12-12,M,FEDF250127HNLGRMA1,Ampliación México 834 911,Vieja Chad,OAX,47649-2738,zvaca@example.org,Standard,STD,POL33722781,,2023-05-16,True,3000,40000
P001226,Victoria,Venegas,Escalante,1964-05-27,F,EOUD680111MTCBZO02,Callejón Bueno 671 603,San Jaime de la Montaña,CAMP,84178,apaez@example.org,Standard,STD,POL87490726,,2025-02-23,True,3000,40000
P001227,Fidel,Tamez,Saucedo,1944-05-28,M,QUHK481106MMNVGV00,Prolongación Bolivia 781 Interior 288,Tlaquepaque,JAL,79398,tania93@example.org,Standard,STD,POL82278146,,2023-06-11,True,3000,40000
P001228,Felix,Villaseñor,Mateo,1956-03-31,F,VAEW990514MQOBWZ01,Callejón Australia 248 Interior 611,Mexicali,BC,62306-7801,judith70@example.org,Premium,PRM,POL41280447,,2021-02-08,True,1500,30000
P001229,Eloy,Perea,Cazares,1958-12-16,M,NICZ610515MSLPRU01,"Callejón Sur Rangel 861 Edif. 732 , Depto. 776",Nueva República de Macedonia del Norte,DGO,63951,lorenzovaldes@example.net,Standard,STD,POL90657416,,2023-07-20,True,3000,40000
P001230,Fidel,Gaona,Pelayo,1967-02-05,M,VEYG911002MQOFLG05,"Corredor Norte Briones 453 Edif. 577 , Depto. 778",Guadalajara,JAL,92945-8361,marcoslovato@example.com,Standard,STD,POL89239604,,2021-03-26,True,3000,40000
P001231,Dulce,Montoya,Orellana,1973-05-06,F,QIUB161019HGTTKA04,"Periférico Sur Mercado 881 Edif. 610 , Depto. 376",San Irma de la Montaña,SON,29403,maestasernesto@example.com,Standard,STD,POL41269808,GRP00408,2024-03-27,True,3000,40000
P001232,Adela,Soria,Pedraza,1992-05-24,F,CADY210517MNEJDC08,Peatonal Sandoval 931 329,San Indira de la Montaña,TAMPS,02759-4250,paezjose-luis@example.com,Standard,STD,POL55574863,,2023-10-03,True,3000,40000
P001233,Pilar,Batista,Alba,1986-03-12,M,TICJ861115HPLCSN00,Diagonal Campeche 573 Interior 841,Querétaro,QRO,96006,acarrion@example.net,Essential,ESS,POL15317660,GRP00271,2024-08-08,True,5000,50000
P001234,José Luis,Ocampo,Zaragoza,1971-01-25,F,UEBX780103MMCZLI08,"Calzada México 697 Edif. 575 , Depto. 546",Vieja Guyana,HGO,68342,xalonso@example.org,Premium,PRM,POL38824996,,2023-07-10,True,1500,30000
P001235,Camilo,Serrano,Robledo,1991-02-10,M,BOEX690813MTCGYE07,"Boulevard Nuevo León 036 Edif. 348 , Depto. 745",San Amador los altos,ZAC,26193,kbadillo@example.org,Standard,STD,POL93094431,GRP00201,2024-01-06,True,3000,40000
P001236,Irene,Menéndez,Quiñónez,1980-10-31,F,MAFS781013HMSBQQ00,Callejón Norte Pacheco 872 Interior 306,Nueva Guatemala,COL,65783,pbenavides@example.net,Premium,PRM,POL51041367,GRP00321,2022-11-10,True,1500,30000
P001237,Jorge Luis,Venegas,Ferrer,1990-02-17,F,HAEK930117MGTJPM08,Retorno Sinaloa 371 Interior 967,San Micaela los altos,MOR,57912-0945,yuridia02@example.net,Essential,ESS,POL94438826,GRP00104,2024-10-13,True,5000,50000
P001238,Germán,Casárez,Gracia,1985-06-27,M,VACT540617HASQFH05,Periférico Norte Zarate 878 639,San Karina los altos,COL,41835,lirasantiago@example.org,Standard,STD,POL44474270,GRP00461,2022-11-05,True,3000,40000
P001239,Jacobo,Corona,Rosado,1977-09-16,F,EOPR161222MSLFJG09,"Pasaje Guanajuato 740 Edif. 751 , Depto. 939",San Helena los bajos,MICH,46037,rafaelangulo@example.org,Premium,PRM,POL56899108,,2023-11-04,True,1500,30000
P001240,José Emilio,Téllez,Saldaña,1972-03-29,M,SIBE090818MNLVCD09,Ampliación Chiapas 993 925,Santa Catarina,NL,79746-3177,solanokarina@example.org,Essential,ESS,POL66786163,GRP00493,2024-07-23,True,5000,50000
P001241,Ramiro,Orosco,Franco,1993-05-18,M,MORD230607HVZTVF01,Calle Yemen 249 Interior 864,Monterrey,NL,94665,raquel77@example.org,Essential,ESS,POL53644349,GRP00129,2023-10-31,True,5000,50000
P001242,Bianca,Rivero,Olivares,1951-03-02,F,SUFD140727HMSVRFA9,"Callejón Tamez 348 Edif. 280 , Depto. 092",San Benjamín de la Montaña,COAH,53650,tania56@example.net,Essential,ESS,POL69690019,GRP00048,2021-06-05,True,5000,50000
P001243,Esteban,Escobedo,Burgos,1993-01-01,F,HOHR460403HCLVHR04,Circuito Casillas 758 Interior 427,San Juan del Río,QRO,86127-7933,eveliomendez@example.com,Premium,PRM,POL94201844,,2024-07-25,True,1500,30000
P001244,Marisol,Orta,Ochoa,1945-04-16,F,XAPZ100513MSRFSPA0,Andador Tabasco 103 Interior 184,Tehuacán,PUE,73265,ericherrera@example.net,Essential,ESS,POL65546120,GRP00385,2021-09-06,True,5000,50000
P001245,Zeferino,Delgadillo,Pulido,1957-04-13,F,QEZA871113MASQWE08,Periférico Samoa 435 354,San Lilia los bajos,SON,56286,salgadonayeli@example.org,Premium,PRM,POL38475134,GRP00461,2024-06-15,True,1500,30000
P001246,Marisol,Laboy,Bueno,1973-10-13,M,COVV941114MASNWO08,"Privada Distrito Federal 405 Edif. 546 , Depto. 512",Guanajuato,GTO,69061,montesrosalia@example.com,Essential,ESS,POL37253031,GRP00346,2022-02-27,False,5000,50000
P001247,Esperanza,Ybarra,Henríquez,1958-01-15,M,CUEK060426MVZYCRA4,"Continuación Hernández 009 Edif. 231 , Depto. 950",San José María los bajos,MOR,87305-3900,georginafuentes@example.org,Standard,STD,POL92620555,GRP00038,2024-02-12,True,3000,40000
P001248,Hermelinda,Zepeda,Salinas,1964-11-03,F,ZUAF011229HBSNCTA2,Cerrada Rwanda 994 310,San Concepción los altos,NAY,18885-7878,olgaalejandro@example.net,Essential,ESS,POL95728397,,2023-03-05,True,5000,50000
P001249,Adán,Batista,Valentín,1980-07-20,F,QIUE590918MQOYVR02,Diagonal Baja California 456 Interior 256,Nezahualcóyotl,MEX,03271-8875,dmendez@example.net,Elite,ELT,POL80207520,GRP00355,2021-11-03,True,0,20000
P001250,Emilio,Vera,Alonso,1982-08-11,F,ZAWU050520MCHPHHA8,Peatonal Sur de la Fuente 244 407,Vieja Guinea Ecuatorial,COL,19718,casarezangel@example.org,Essential,ESS,POL03672916,GRP00280,2023-09-03,True,5000,50000
P001251,Armando,Orosco,Pelayo,1984-08-13,M,AUOI410607MCSYDX02,Peatonal Vega 527 565,San Carmen los bajos,SON,08313,adameantonio@example.net,Standard,STD,POL61832152,GRP00277,2025-07-12,True,3000,40000
P001252,Amalia,Bahena,Salcedo,1959-08-28,M,TUNQ030327MDGGNQA9,"Circuito Sur Archuleta 604 Edif. 283 , Depto. 167",Xalapa,VER,32464,mario10@example.com,Standard,STD,POL06067377,GRP00278,2023-03-23,True,3000,40000
P001253,Carlos,Tórrez,Carvajal,1942-04-04,F,VUAM621103HMNPCW02,"Peatonal Baja California Sur 117 Edif. 056 , Depto. 476",Nueva Gambia,ZAC,85757-9033,uriojas@example.com,Elite,ELT,POL94791099,GRP00330,2024-02-29,True,0,20000
P001254,Rodolfo,Gamboa,Rosas,1975-07-28,F,XUKV720319MBSBFF06,Callejón Jalisco 804 533,Ensenada,BC,30498-2070,alvacristian@example.com,Premium,PRM,POL75547539,GRP00200,2022-10-02,True,1500,30000
P001255,Enrique,Tafoya,Chávez,1962-10-20,F,IEQM210828MSRJGL06,Andador Egipto 821 Interior 726,San Augusto los bajos,GRO,30804,tellonoelia@example.net,Premium,PRM,POL61125804,GRP00192,2022-02-07,True,1500,30000
P001256,Esther,Balderas,Otero,2006-04-30,M,VUXS880817MSRKJR04,Calle Sur Camarillo 716 810,San Pedro Garza García,NL,76635,arturomerino@example.org,Standard,STD,POL67371107,,2024-05-28,False,3000,40000
P001257,Olivia,Prieto,Lara,1968-02-01,F,FUYK950318MGRNQF03,Circunvalación Rojas 594 689,San Oswaldo los bajos,CHIS,37425-2577,ltijerina@example.net,Essential,ESS,POL77395166,GRP00041,2020-10-01,False,5000,50000
P001258,Cynthia,Haro,Rosado,1989-11-15,M,KUTZ130128MDFKVD03,"Retorno Morales 071 Edif. 519 , Depto. 963",Irapuato,GTO,30477,ivanvillareal@example.com,Premium,PRM,POL11595338,GRP00356,2024-06-13,True,1500,30000
P001259,Ricardo,Alfaro,Puente,1952-03-04,F,QIMR941108MBCYNY06,Eje vial Sonora 309 805,Vieja Camerún,SON,83434,lorenzoharo@example.com,Standard,STD,POL68087793,GRP00331,2022-01-01,True,3000,40000
